Nom_UTF Nom_ASCII Noms_Alternatius Latitud Longitud CodiToponim Poblacio
Pla_del_Socarrat Pla_del_Socarrat NULL 42.55 1.6 UPLD 0
Camí_del_Socarrat Cami_del_Socarrat NULL 42.58333 1.63333 TRL 0
Bosc_del_Socarrat Bosc_del_Socarrat NULL 42.58333 1.65 FRST 0
Vial_de_la_Socarrada_de_Coll_Carnisser Vial_de_la_Socarrada_de_Coll_Carnisser NULL 42.58333 1.46667 RD 0
Pala_de_Sobre_l’Estany Pala_de_Sobre_l'Estany NULL 42.61667 1.71667 CLF 0
Pala_de_Sobre_les_Basses Pala_de_Sobre_les_Basses NULL 42.58333 1.7 SLP 0
Basers_de_Sobre_la_Pleta Basers_de_Sobre_la_Pleta NULL 42.6 1.46667 CLF 0
Sobre_dels_Camps_de_la_Cortinada Sobre_dels_Camps_de_la_Cortinada NULL 42.58333 1.5 ADMD 0
Planells_Sobirans Planells_Sobirans NULL 42.58333 1.46667 UPLD 0
Riu_del_Sisqueró Riu_del_Sisquero NULL 42.6 1.7 STM 0
Camí_del_Sisquero Cami_del_Sisquero NULL 42.6 1.68333 TRL 0
Solà_de_Sispony Sola_de_Sispony NULL 42.53333 1.48333 SLP 0
Camí_de_Sispony Cami_de_Sispony NULL 42.53333 1.46667 TRL 0
Sispony Sispony NULL 42.53355 1.51481 PPL 0
Pletes_del_Siscaró Pletes_del_Siscaro NULL 42.58333 1.7 GRAZ 0
Estanys_del_Siscaro Estanys_del_Siscaro NULL 42.58333 1.7 LKS 0
Canals_del_Siscaró Canals_del_Siscaro NULL 42.58333 1.7 RVN 0
Pic_de_Siscarou Pic_de_Siscarou Pic_de_Siscarou,Pico_de_Siscarou,Siscaro,Siscaró 42.6 1.73333 PK 0
Siscaró Siscaro NULL 42.58333 1.71667 ADMD 0
Marrades_del_Siscar Marrades_del_Siscar NULL 42.58333 1.71667 TRL 0
Canals_del_Siscar Canals_del_Siscar NULL 42.6 1.71667 RVN 0
Basses_del_Siscar Basses_del_Siscar NULL 42.58333 1.71667 LKS 0
Sincloset Sincloset NULL 42.48333 1.5 MT 0
Port_de_Siguer Port_de_Siguer Port_de_Siguer 42.65 1.56667 PASS 0
Bosc_del_Sigarró Bosc_del_Sigarro NULL 42.51667 1.6 FRST 0
Canal_de_la_Sicalma Canal_de_la_Sicalma NULL 42.5 1.48333 STM 0
Portella_de_Satut Portella_de_Satut Port_de_Setut,Portella_de_Satut,Portella_de_Setut 42.46667 1.63333 PK 0
Cabana_de_Setut Cabana_de_Setut NULL 42.48333 1.63333 HUT 0
Basses_de_Setut Basses_de_Setut NULL 42.48333 1.65 LKS 0
Setut Setut NULL 42.46667 1.65 ADMD 0
Carretera_de_Setúria Carretera_de_Seturia NULL 42.55 1.48333 RD 0
Camí_de_Setúria Cami_de_Seturia NULL 42.55 1.46667 TRL 0
Bordes_de_Setúria Bordes_de_Seturia NULL 42.53288 1.43718 HUTS 0
